,x1,macro_plot_name,monitoring_status,date_x,tag_no,status_x,dbh_x,ht,crwn_rto,crwn_cl,li_cr_b_ht,crwn_rad,decay_cl,char_ht,scorch_ht,cr_sc_pct,comment_x,uv1,uv2,species_symbol,year,treatment,treatment_burn,experiment,date_y,species,status_y,top_kill_y_n,dbh_y,crown_ratio,epicormic_resprout_y_n,basal_resprout_y_n,basal_resprout_height_cm,basal_resprout_width_cm,resprout_count,comment_y,experiment_resprout
39,39,_190,PreBurn,8/28/2021 12:20,226,L,14.55,7,90,I,0.2,2,NA,0,NA,NA,NA,NA,NA,QUKE,controls,treat,control,new,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,40,_190,PreBurn,8/28/2021 12:20,227,L,16.5,7.4,90,I,0.2,2.25,NA,0,NA,NA,NA,NA,NA,QUKE,controls,treat,control,new,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,41,_190,PreBurn,8/28/2021 12:20,228,L,8.95,5.4,70,I,0.8,2.2,NA,0,NA,NA,NA,NA,NA,QUKE,controls,treat,control,new,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,42,_190,PreBurn,8/28/2021 12:20,229,L,8.55,5.5,70,I,0,2,NA,0,NA,NA,NA,NA,NA,QUKE,controls,treat,control,new,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,43,_190,PreBurn,8/28/2021 12:20,230,L,9.8,4.1,90,I,0.2,1.15,NA,0,NA,NA,NA,NA,NA,QUKE,controls,treat,control,new,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,44,_190,PreBurn,8/28/2021 12:20,231,L,12.3,6.2,80,C,0.6,1.9,NA,0,NA,NA,NA,NA,NA,QUKE,controls,treat,control,new,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,45,_190,PreBurn,8/28/2021 12:20,232,L,9.85,6.2,80,C,1.4,2,NA,0,NA,NA,NA,NA,NA,QUKE,controls,treat,control,new,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,46,_190,PreBurn,8/28/2021 12:20,236,L,8,6.1,60,I,1,1.55,NA,0,NA,NA,NA,NA,NA,QUKE,controls,treat,control,new,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,47,_190,PreBurn,8/28/2021 12:20,238,L,45.05,13.6,100,C,0,3.7,NA,0,NA,NA,NA,NA,NA,QUKE,controls,treat,control,new,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,71,_191,PreBurn,8/28/2021 12:20,240,L,14.25,7.9,100,I,0.7,3,NA,0,NA,NA,NA,NA,NA,QUKE,controls,treat,control,new,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,72,_191,PreBurn,8/28/2021 12:20,241,L,12.3,6,100,I,0.6,2,NA,0,NA,NA,NA,NA,NA,QUKE,controls,treat,control,new,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,73,_191,PreBurn,8/28/2021 12:20,242,L,13,7.3,100,I,2.5,1.75,NA,0,NA,NA,NA,NA,NA,QUKE,controls,treat,control,new,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,74,_191,PreBurn,8/28/2021 12:20,243,L,10.3,5.9,100,I,0.6,2.2,NA,0,NA,NA,NA,NA,NA,QUKE,controls,treat,control,new,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,75,_191,PreBurn,8/28/2021 12:20,244,L,11.25,5.9,100,I,1,2.35,NA,0,NA,NA,NA,NA,NA,QUKE,controls,treat,control,new,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,76,_191,PreBurn,8/28/2021 12:20,245,L,7.75,2.4,100,S,0.9,2,NA,0,NA,NA,NA,NA,NA,QUKE,controls,treat,control,new,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,77,_191,PreBurn,8/28/2021 12:20,246,L,25,9.2,100,C,1,3.5,NA,0,NA,NA,NA,NA,NA,QUKE,controls,treat,control,new,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,78,_191,PreBurn,8/28/2021 12:20,247,L,7.85,5,100,S,0.2,1.9,NA,0,NA,NA,NA,NA,NA,QUKE,controls,treat,control,new,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,79,_191,PreBurn,8/28/2021 12:20,251,L,14.1,7.2,100,I,0.6,2.2,NA,0,NA,NA,NA,NA,NA,QUKE,controls,treat,control,new,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,80,_191,PreBurn,8/28/2021 12:20,252,L,12.65,5.3,90,I,0.1,1.75,NA,0,NA,NA,NA,NA,NA,QUKE,controls,treat,control,new,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
119,119,_190,PostBurnYear1,9/26/2022 11:06,226,L,15.1,7,100,I,0,2.5,NA,NA,NA,NA,NA,NA,NA,QUKE,controls,treat,control,new,2022,QUKE,L,N,15.1,100,N,N,NA,NA,NA,NA,new_exp_2022
120,120,_190,PostBurnYear1,9/26/2022 11:06,227,L,18,7.4,100,I,0,2.75,NA,NA,NA,NA,NA,NA,NA,QUKE,controls,treat,control,new,2022,QUKE,L,N,18,100,N,N,NA,NA,NA,NA,new_exp_2022
121,121,_190,PostBurnYear1,9/26/2022 11:06,228,L,9.45,5.8,100,I,1,2.25,NA,NA,NA,NA,NA,NA,NA,QUKE,controls,treat,control,new,2022,QUKE,L,N,9.45,100,N,N,NA,NA,NA,NA,new_exp_2022
122,122,_190,PostBurnYear1,9/26/2022 11:06,229,L,9.15,5.7,100,I,0.5,2.25,NA,NA,NA,NA,NA,NA,NA,QUKE,controls,treat,control,new,2022,QUKE,L,N,9.15,100,N,N,NA,NA,NA,NA,new_exp_2022
123,123,_190,PostBurnYear1,9/26/2022 11:06,230,L,10.15,4.3,100,I,0,1.5,NA,NA,NA,NA,NA,NA,NA,QUKE,controls,treat,control,new,2022,QUKE,L,N,10.15,100,N,N,NA,NA,NA,NA,new_exp_2022
124,124,_190,PostBurnYear1,9/26/2022 11:06,231,L,13.1,6.3,100,C,0.1,2,NA,NA,NA,NA,NA,NA,NA,QUKE,controls,treat,control,new,2022,QUKE,L,N,13.1,100,N,N,NA,NA,NA,NA,new_exp_2022
125,125,_190,PostBurnYear1,9/26/2022 11:06,232,L,10.9,6.5,90,C,1.1,2,NA,NA,NA,NA,NA,NA,NA,QUKE,controls,treat,control,new,2022,QUKE,L,N,10.9,90,N,N,NA,NA,NA,NA,new_exp_2022
126,126,_190,PostBurnYear1,9/26/2022 11:06,236,L,9.15,6.5,100,I,0,1.5,NA,NA,NA,NA,NA,NA,NA,QUKE,controls,treat,control,new,2022,QUKE,L,N,9.15,100,N,N,NA,NA,NA,NA,new_exp_2022
127,127,_190,PostBurnYear1,9/26/2022 11:06,238,L,45.85,8.6,80,C,0,4,NA,NA,NA,NA,top broke off.,NA,NA,QUKE,controls,treat,control,new,2022,QUKE,L,N,45.85,80,N,N,NA,NA,NA,Top broke.,new_exp_2022
152,152,_191,PostBurnYear1,9/26/2022 11:07,240,L,15.8,7.9,100,I,0.4,3.5,NA,NA,NA,NA,NA,NA,NA,QUKE,controls,treat,control,new,2022,QUKE,L,N,15.8,100,N,N,NA,NA,NA,NA,new_exp_2022
153,153,_191,PostBurnYear1,9/26/2022 11:07,241,L,12.85,6,100,I,0.5,1.5,NA,NA,NA,NA,NA,NA,NA,QUKE,controls,treat,control,new,2022,QUKE,L,N,12.85,100,N,N,NA,NA,NA,NA,new_exp_2022
154,154,_191,PostBurnYear1,9/26/2022 11:07,242,L,13.3,7.5,100,I,2,1.5,NA,NA,NA,NA,NA,NA,NA,QUKE,controls,treat,control,new,2022,QUKE,L,N,13.3,100,N,N,NA,NA,NA,NA,new_exp_2022
155,155,_191,PostBurnYear1,9/26/2022 11:07,243,L,10.9,6,100,I,0.6,1.5,NA,NA,NA,NA,NA,NA,NA,QUKE,controls,treat,control,new,2022,QUKE,L,N,10.9,100,N,N,NA,NA,NA,NA,new_exp_2022
156,156,_191,PostBurnYear1,9/26/2022 11:07,244,L,11.95,6.1,100,I,0.8,2,NA,NA,NA,NA,NA,NA,NA,QUKE,controls,treat,control,new,2022,QUKE,L,N,11.95,100,N,N,NA,NA,NA,NA,new_exp_2022
157,157,_191,PostBurnYear1,9/26/2022 11:07,245,L,8.05,2.5,100,S,0.6,1.5,NA,NA,NA,NA,NA,NA,NA,QUKE,controls,treat,control,new,2022,QUKE,L,N,8.05,100,N,N,NA,NA,NA,NA,new_exp_2022
158,158,_191,PostBurnYear1,9/26/2022 11:07,246,L,25.6,10,100,C,0.5,2.5,NA,NA,NA,NA,NA,NA,NA,QUKE,controls,treat,control,new,2022,QUKE,L,N,25.6,100,N,N,NA,NA,NA,NA,new_exp_2022
159,159,_191,PostBurnYear1,9/26/2022 11:07,247,L,8.5,5.1,100,S,0.6,1,NA,NA,NA,NA,NA,NA,NA,QUKE,controls,treat,control,new,2022,QUKE,L,N,8.5,100,N,N,NA,NA,NA,NA,new_exp_2022
160,160,_191,PostBurnYear1,9/26/2022 11:07,251,L,14.7,7.2,100,I,0,2,NA,NA,NA,NA,NA,NA,NA,QUKE,controls,treat,control,new,2022,QUKE,L,N,14.7,100,N,N,NA,NA,NA,NA,new_exp_2022
161,161,_191,PostBurnYear1,9/26/2022 11:07,252,L,13.05,6,100,I,0,1.25,NA,NA,NA,NA,NA,NA,NA,QUKE,controls,treat,control,new,2022,QUKE,L,N,13.05,100,N,N,NA,NA,NA,NA,new_exp_2022
368,368,_171,PreBurn,8/28/2021 12:12,51,D,58.35,2.5,NA,NA,NA,NA,5,0.9,NA,NA,NA,NA,NA,QUKE,yr1,treat13,leafout_burn,new,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
369,369,_171,PreBurn,8/28/2021 12:12,52,L,58.7,16.4,100,C,0.7,5.5,NA,1.2,NA,NA,NA,NA,NA,QUKE,yr1,treat13,leafout_burn,new,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
370,370,_171,PreBurn,8/28/2021 12:12,53,L,13.1,6.9,100,I,1,2.8,NA,0,NA,NA,NA,NA,NA,QUKE,yr1,treat13,leafout_burn,new,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
371,371,_171,PreBurn,8/28/2021 12:12,56,L,44.7,10.2,100,I,0.8,4,NA,0,NA,NA,NA,NA,NA,QUKE,yr1,treat13,leafout_burn,new,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
372,372,_171,PreBurn,8/28/2021 12:12,59,L,39.9,13,100,C,2,4.5,NA,0,NA,NA,NA,NA,NA,QUKE,yr1,treat13,leafout_burn,new,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
373,373,_171,PreBurn,8/28/2021 12:12,60,L,44.4,12.2,100,C,1,4,NA,0,NA,NA,NA,NA,NA,QUKE,yr1,treat13,leafout_burn,new,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
374,374,_171,PreBurn,8/28/2021 12:12,61,L,21.05,7.5,100,I,0.7,1.6,NA,0,NA,NA,NA,NA,NA,PIJE,yr1,treat13,leafout_burn,new,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
375,375,_171,PreBurn,8/28/2021 12:12,62,L,13.1,6.5,100,S,1.4,1,NA,0,NA,NA,NA,NA,NA,PIJE,yr1,treat13,leafout_burn,new,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
376,376,_198,PreBurn,8/28/2021 12:12,189,L,31.85,10,90,I,1.9,2.75,NA,0,NA,NA,NA,NA,NA,QUKE,yr1,treat13,leafout_burn,new,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
377,377,_198,PreBurn,8/28/2021 12:12,190,L,48.3,18.5,100,D,7.4,3,NA,3.5,NA,NA,NA,NA,NA,PIJE,yr1,treat13,leafout_burn,new,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
378,378,_198,PreBurn,8/28/2021 12:12,192,L,9.4,5.8,100,I,1.4,1.5,NA,0,NA,NA,NA,NA,NA,QUKE,yr1,treat13,leafout_burn,new,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
379,379,_198,PreBurn,8/28/2021 12:12,193,L,7.7,5.2,100,I,1.2,1.1,NA,0,NA,NA,NA,NA,NA,QUKE,yr1,treat13,leafout_burn,new,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
380,380,_198,PreBurn,8/28/2021 12:12,194,L,52.2,10,100,I,1.6,4.9,NA,0,NA,NA,NA,NA,NA,QUKE,yr1,treat13,leafout_burn,new,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
381,381,_198,PreBurn,8/28/2021 12:12,195,L,38.8,12,100,I,7,3.8,NA,0,NA,NA,NA,NA,NA,QUKE,yr1,treat13,leafout_burn,new,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
382,382,_198,PreBurn,8/28/2021 12:12,197,D,45,20.4,NA,NA,NA,NA,2,0,NA,NA,NA,NA,NA,PIJE,yr1,treat13,leafout_burn,new,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
383,383,_172,PreBurn,8/28/2021 12:12,117,L,57.5,11.2,80,C,2.5,5.25,NA,0,NA,NA,NA,NA,NA,QUKE,yr1,treat13,leafout_burn,new,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
384,384,_172,PreBurn,8/28/2021 12:12,118,L,51,9.2,90,I,2.9,3.75,NA,1.8,NA,NA,NA,NA,NA,QUKE,yr1,treat13,leafout_burn,new,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
385,385,_172,PreBurn,8/28/2021 12:12,119,D,10,3,NA,NA,NA,NA,2,0,NA,NA,NA,NA,NA,PIJE,yr1,treat13,leafout_burn,new,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
386,386,_172,PreBurn,8/28/2021 12:12,120,L,43.45,15,80,D,8,2.75,NA,0.6,NA,NA,NA,NA,NA,PIJE,yr1,treat13,leafout_burn,new,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
387,387,_172,PreBurn,8/28/2021 12:12,122,L,46,16.2,100,C,7.8,2.5,NA,4,NA,NA,NA,NA,NA,PIJE,yr1,treat13,leafout_burn,new,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
388,388,_172,PreBurn,8/28/2021 12:12,123,L,47.65,9.8,100,I,4,3.5,NA,1,NA,NA,NA,NA,NA,QUKE,yr1,treat13,leafout_burn,new,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
389,389,_172,PreBurn,8/28/2021 12:12,124,L,52.85,9.9,100,I,4.3,3.6,NA,0,NA,NA,NA,NA,NA,QUKE,yr1,treat13,leafout_burn,new,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
390,390,_172,PreBurn,8/28/2021 12:12,125,D,22,7.6,NA,NA,NA,NA,2,0.3,NA,NA,NA,NA,NA,PIJE,yr1,treat13,leafout_burn,new,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
391,391,_172,PreBurn,8/28/2021 12:12,126,L,46.05,10.4,100,I,1.8,4,NA,0,NA,NA,NA,NA,NA,QUKE,yr1,treat13,leafout_burn,new,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
392,392,_181,PreBurn,8/28/2021 12:12,95,L,17.75,3.4,100,S,0.5,1.6,NA,0,NA,NA,NA,NA,NA,PIJE,yr1,treat13,dormant_burn,new,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
393,393,_181,PreBurn,8/28/2021 12:12,96,D,77.1,15.6,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,QUKE,yr1,treat13,dormant_burn,new,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
394,394,_181,PreBurn,8/28/2021 12:12,98,L,23.5,12.8,100,C,5,1.8,NA,0,NA,NA,NA,NA,NA,PIJE,yr1,treat13,dormant_burn,new,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
395,395,_181,PreBurn,8/28/2021 12:12,99,L,36.8,12,100,C,5.1,2,NA,2.7,NA,NA,NA,NA,NA,PIJE,yr1,treat13,dormant_burn,new,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
396,396,_181,PreBurn,8/28/2021 12:12,100,L,26.9,9.6,100,I,2.8,1.8,NA,2.4,NA,NA,NA,NA,NA,PIJE,yr1,treat13,dormant_burn,new,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
397,397,_181,PreBurn,8/28/2021 12:12,101,L,10.6,6.1,100,I,3.2,1.6,NA,0,NA,NA,NA,NA,NA,QUKE,yr1,treat13,dormant_burn,new,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
398,398,_181,PreBurn,8/28/2021 12:12,103,L,14.7,6.3,100,I,2.5,1.5,NA,0,NA,NA,NA,NA,NA,QUKE,yr1,treat13,dormant_burn,new,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
399,399,_181,PreBurn,8/28/2021 12:12,104,L,11.3,6,100,I,4.5,1,NA,0,NA,NA,NA,NA,NA,QUKE,yr1,treat13,dormant_burn,new,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
400,400,_181,PreBurn,8/28/2021 12:12,105,L,8.85,5.1,100,I,3.5,1.95,NA,0,NA,NA,NA,NA,NA,QUKE,yr1,treat13,dormant_burn,new,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
401,401,_181,PreBurn,8/28/2021 12:12,106,L,10.25,7,100,I,5.2,1.2,NA,0,NA,NA,NA,NA,NA,QUKE,yr1,treat13,dormant_burn,new,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
402,402,_181,PreBurn,8/28/2021 12:12,107,L,12.6,7.1,100,I,3,1.25,NA,0,NA,NA,NA,NA,NA,QUKE,yr1,treat13,dormant_burn,new,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
403,403,_181,PreBurn,8/28/2021 12:12,108,L,9.4,7,100,I,2.7,1.25,NA,0,NA,NA,NA,NA,NA,QUKE,yr1,treat13,dormant_burn,new,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
404,404,_181,PreBurn,8/28/2021 12:12,109,L,21.9,9.8,100,C,2.7,1.9,NA,0.8,NA,NA,NA,NA,NA,PIJE,yr1,treat13,dormant_burn,new,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
405,405,_181,PreBurn,8/28/2021 12:12,110,L,15.6,6.9,100,I,1.5,2.4,NA,0,NA,NA,NA,NA,NA,QUKE,yr1,treat13,dormant_burn,new,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
406,406,_181,PreBurn,8/28/2021 12:12,111,L,43.75,12.8,100,C,1,4,NA,0.3,NA,NA,NA,NA,NA,QUKE,yr1,treat13,dormant_burn,new,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
407,407,_181,PreBurn,8/28/2021 12:12,112,L,55.3,12.9,100,C,1.6,4,NA,0.3,NA,NA,NA,NA,NA,QUKE,yr1,treat13,dormant_burn,new,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
408,408,_181,PreBurn,8/28/2021 12:12,113,L,49,7.4,100,I,1.8,2,NA,0,NA,NA,NA,NA,NA,QUKE,yr1,treat13,dormant_burn,new,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
409,409,_181,PreBurn,8/28/2021 12:12,114,L,16.4,5.1,90,S,0.5,1.55,NA,0.3,NA,NA,NA,NA,NA,PIJE,yr1,treat13,dormant_burn,new,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
410,410,_181,PreBurn,8/28/2021 12:12,115,L,44.7,11.9,90,C,2.1,5,NA,0,NA,NA,NA,NA,NA,QUKE,yr1,treat13,dormant_burn,new,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
411,411,_177,PreBurn,8/28/2021 12:12,85,L,22,7,100,S,2,2,NA,0,NA,NA,NA,NA,NA,PIJE,yr1,treat13,dormant_burn,new,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
412,412,_177,PreBurn,8/28/2021 12:12,86,D,95.4,3,NA,NA,NA,NA,5,3,NA,NA,NA,NA,NA,QUKE,yr1,treat13,dormant_burn,new,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
413,413,_177,PreBurn,8/28/2021 12:12,90,D,51.9,1.8,NA,NA,NA,NA,5,1.8,NA,NA,NA,NA,NA,QUKE,yr1,treat13,dormant_burn,new,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
414,414,_177,PreBurn,8/28/2021 12:12,91,L,19.6,10.6,100,I,0.7,2.45,NA,0,NA,NA,NA,NA,NA,QUKE,yr1,treat13,dormant_burn,new,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
415,415,_177,PreBurn,8/28/2021 12:12,92,L,11.1,4.4,100,S,1.8,1,NA,0,NA,NA,NA,NA,NA,PIJE,yr1,treat13,dormant_burn,new,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
416,416,_177,PreBurn,8/28/2021 12:12,93,L,90.55,15,70,C,1.4,7,NA,0,NA,NA,NA,NA,NA,QUKE,yr1,treat13,dormant_burn,new,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
417,417,_177,PreBurn,8/28/2021 12:12,94,L,67.4,13.2,90,C,1.2,6.6,NA,0,NA,NA,NA,NA,NA,QUKE,yr1,treat13,dormant_burn,new,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
