MacroPlot.Name,Monitoring.Status, Date,TagNo,Species ,Status,Top Kill    (Y/N),DBH,Height,Crown Ratio,Crown Class,Base to Crown (m),Crown Radius,Decay Class (dead),Char Ht (m),Scorch Ht (m),Scorth %,Torch %,Epicormic Resprout (Y/N),Basal Resprout (Y/N),Basal Resprout Height (cm),Basal Resprout Width (cm),Resprout Count,Comment
_144,PostBurnYear1,2021,528,PIJE,L,N,54.4,18.8,80,C,7.4,3.7,,2.2,,,,N,N,,,,
_144,PostBurnYear1,2021,529,PIJE,L,N,39.95,16.4,95,I,6.8,3.4,,0.3,,,,N,N,,,,
_144,PostBurnYear1,2021,530,PIJE,L,N,69.7,25.4,80,C,13.6,6.8,,0.1,,,,N,N,,,,
_145,PostBurnYear1,2021,,,,,,,,,,,,,,,,,,,,,
_145,PostBurnYear1,2021,545,PIJE,L,N,61.85,23,100,C,14,3,,3,,,,N,N,,,,
_145,PostBurnYear1,2021,547,QUKE,D,N,,,,,,,,,,,,N,N,,,,Gone
_145,PostBurnYear1,2021,551,PIJE,L,N,77.05,28.4,100,D,13.5,4,,4.4,,,,N,N,,,,
_145,PostBurnYear1,2021,552,PIJE,D,N,,,,,,,,,,,,N,N,,,,Gone
_145,PostBurnYear1,2021,554,PIJE,L,N,43.8,22,90,C,10,1.25,,4.5,,,,N,N,,,,
_145,PostBurnYear1,2021,555,PIJE,L,N,52.85,24,100,C,12,1.75,,4,,,,N,N,,,,
_145,PostBurnYear1,2021,556,PIJE,L,N,60.4,24.8,90,C,11.2,2.5,,4,,,,N,N,,,,
_145,PostBurnYear1,2021,557,PIJE,L,N,17.8,8.6,20,S,7.2,0.9,,3.4,7.2,40,20,N,N,,,,
_145,PostBurnYear1,2021,558,PIJE,D,N,14.55,7.8,,,,,2,2.2,,,,N,N,,,,
_145,PostBurnYear1,2021,562,PIJE,L,N,53.9,23,100,C,15,2.25,,2.2,,,,N,N,,,,
_145,PostBurnYear1,2021,563,PIJE,L,N,20.5,10.2,40,S,6.2,2,,2.4,6,20,15,N,N,,,,
_145,PostBurnYear1,2021,565,QUKE,L,N,8.75,5.8,60,S,2.3,2.05,,0.3,4.5,40,2,Y,Y,37,40,7,
_146,PostBurnYear1,2021,,,,,,,,,,,,,,,,,,,,,
_146,PostBurnYear1,2021,849,PIJE,L,N,60.1,19.2,100,C,6.5,4.2,,2.4,,,,N,N,,,,
_146,PostBurnYear1,2021,851,PIJE,D,N,17.6,6.5,,,,,2,0,,,,N,N,,,,
_146,PostBurnYear1,2021,854,QUKE,L,N,54,8.2,70,C,1,4.25,,0,,,,N,N,,,,
_146,PostBurnYear1,2021,855,QUKE,L,N,50.6,10.8,90,C,0.4,4.5,,0,,,,N,N,,,,
_146,PostBurnYear1,2021,866,QUKE,L,N,52.5,11.8,100,C,1,6.5,,0,,,,N,N,,,,
_147,PostBurnYear1,2021,,,,,,,,,,,,,,,,,,,,,
_147,PostBurnYear1,2021,863,QUKE,L,N,8.05,6,100,I,1.5,1.6,,0,,,,N,N,,,,
_147,PostBurnYear1,2021,864,QUKE,L,N,8.4,6,100,I,1.2,1.7,,0,,,,N,N,,,,
_147,PostBurnYear1,2021,868,QUKE,L,N,18.65,8.4,100,I,1.4,2.5,,0,,,,N,N,,,,
_147,PostBurnYear1,2021,869,PIJE,L,N,35.1,12.8,90,I,2.3,3,,1.8,2.5,0.5,,N,N,,,,
_147,PostBurnYear1,2021,870,QUKE,L,N,11.4,6.2,80,S,2.2,2.25,,4.7,,,,Y,Y,47,98,33,
_147,PostBurnYear1,2021,871,PIJE,L,N,57.1,20.5,100,C,9.2,4.1,,0,,,,N,N,,,,
_147,PostBurnYear1,2021,873,QUKE,L,N,37.1,8.2,20,C,1.4,3.5,,0,,,,N,Y,64,97,1,
_148,PostBurnYear1,2021,,,,,,,,,,,,,,,,,,,,,
_148,PostBurnYear1,2021,874,QUKE,D,N,48.5,9.5,,,,,2,1.4,,,,N,N,,,,
_148,PostBurnYear1,2021,875,QUKE,D,N,54,9.4,,,,,1,0.8,,,,N,N,,,,
_148,PostBurnYear1,2021,877,QUKE,L,N,51.65,12.8,70,C,0.7,3.6,,0,,,,N,N,,,,
_148,PostBurnYear1,2021,878,PIJE,L,N,36.3,14.1,90,C,5.5,3.35,,1.25,,,,N,N,,,,
_148,PostBurnYear1,2021,879,QUKE,L,N,8,5.2,100,S,1,1.75,,0,,,,N,N,,,,
_148,PostBurnYear1,2021,882,QUKE,L,N,53,11.5,40,C,1.4,3.35,,2.5,,,,N,N,,,,
_148,PostBurnYear1,2021,883,QUKE,L,N,66.4,11,70,C,1.4,4.5,,0,,,,N,N,,,,
_148,PostBurnYear1,2021,884,PIJE,L,N,18.8,7.8,80,I,2.6,2.5,,1.8,2.5,1,,N,N,,,,
_148,PostBurnYear1,2021,885,PIJE,L,N,36.45,14.2,90,C,7.5,3,,1.4,,,,N,N,,,,
_148,PostBurnYear1,2021,880,QUKE,L,N,8,6.1,100,S,0.9,2.1,,0,,,,N,N,,,,
_149,PostBurnYear1,2021,,,,,,,,,,,,,,,,,,,,,
_149,PostBurnYear1,2021,801,PIJE,L,N,37.8,14.8,100,C,9,3,,4,,,,N,N,,,,
_149,PostBurnYear1,2021,802,PIJE,L,N,22.3,12.2,90,I,8,2.15,,2,,,,N,N,,,,
_149,PostBurnYear1,2021,803,QUKE,L,N,39.1,11,60,I,3.4,2.5,,0,,,,N,N,,,,
_149,PostBurnYear1,2021,804,QUKE,L,N,35.2,12.6,80,I,4.6,2.75,,0,,,,N,N,,,,
_149,PostBurnYear1,2021,805,QUKE,L,N,30.4,10.6,80,I,4.1,2.1,,0,,,,N,N,,,,
_149,PostBurnYear1,2021,806,PIJE,L,N,26.3,12.2,50,C,8,1.65,,1,8.8,50,,N,N,,,,
_149,PostBurnYear1,2021,807,PIJE,L,N,14.35,7.6,60,S,4.4,1.4,,0.35,,,,N,N,,,,
_149,PostBurnYear1,2021,808,QUKE,L,N,52.2,11.2,90,I,2,4.1,,0.1,,,,N,N,,,,
_149,PostBurnYear1,2021,809,PIJE,L,N,10.3,5.5,40,I,3,1.25,,0.8,,,,N,N,,,,
_149,PostBurnYear1,2021,810,PIJE,L,N,28.95,11.6,90,I,5.1,2,,2.2,,,,N,N,,,,
_149,PostBurnYear1,2021,811,PIJE,L,N,15.1,7.6,100,I,4.2,1.5,,1,,,,N,N,,,,
_149,PostBurnYear1,2021,813,PIJE,L,N,24.1,9.6,90,I,5,2,,4,,,,N,N,,,,
_149,PostBurnYear1,2021,814,PIJE,L,N,22.5,9.6,100,I,5,2.25,,0.9,,,,N,N,,,,
_149,PostBurnYear1,2021,815,PIJE,D,N,7.65,4.2,,,,,1,0.75,,,,N,N,,,,
_149,PostBurnYear1,2021,816,PIJE,L,N,23.95,10.6,100,C,5.2,1.95,,2.4,,,,N,N,,,,
_149,PostBurnYear1,2021,818,PIJE,L,N,29.8,12.6,90,C,7.4,2.25,,0.8,,,,N,N,,,,
_149,PostBurnYear1,2021,819,PIJE,L,N,23.85,8.6,30,I,5.8,1,,3,,,,N,N,,,,
_149,PostBurnYear1,2021,820,PIJE,L,N,27,11.2,50,I,7.6,1.75,,1.4,,,,N,N,,,,
_149,PostBurnYear1,2021,821,PIJE,L,N,40.9,14.6,70,C,9.8,2,,6,9.8,30,,N,N,,,,
_149,PostBurnYear1,2021,822,PIJE,L,N,68.2,22,90,C,11,5.25,,2.2,,,,N,N,,,,
_149,PostBurnYear1,2021,823,QUKE,D,N,35.1,8.4,,,,,1,1,,,,N,N,,,,
_150,PostBurnYear1,2021,,,,,,,,,,,,,,,,,,,,,
_150,PostBurnYear1,2021,837,QUKE,L,N,67.6,16.6,60,C,1.6,4.5,,0,,,,N,N,,,,
_150,PostBurnYear1,2021,838,QUKE,L,N,48.9,11.5,80,C,1.7,4.75,,0,,,,N,N,,,,
_150,PostBurnYear1,2021,840,QUKE,L,N,13.3,6.5,100,I,1,2.1,,0,,,,N,N,,,,
_150,PostBurnYear1,2021,842,QUKE,L,N,10.7,6,80,I,0.2,1.6,,0,,,,N,N,,,,
_150,PostBurnYear1,2021,843,QUKE,D,N,64.85,17.4,,,,,2,2.5,,,,N,N,,,,
_151,PostBurnYear1,2021,,,,,,,,,,,,,,,,,,,,,
_151,PostBurnYear1,2021,585,QUKE,L,N,27.5,10.8,90,C,1,3.5,,0,,,,N,N,,,,
_151,PostBurnYear1,2021,587,QUKE,L,N,9.95,6,60,I,1.4,2,,0,,,,N,N,,,,
_151,PostBurnYear1,2021,588,QUKE,L,N,10.8,6.5,70,I,1.5,2.5,,0,,,,N,N,,,,
_151,PostBurnYear1,2021,589,QUKE,L,N,15,8,90,C,1.75,2.75,,0,,,,N,N,,,,
_151,PostBurnYear1,2021,591,QUKE,L,N,13.55,8.2,100,C,1.2,2.5,,0,,,,N,N,,,,
_151,PostBurnYear1,2021,592,QUKE,L,N,8.25,5,100,I,1.1,1.75,,0,,,,N,N,,,,
_151,PostBurnYear1,2021,594,QUKE,L,N,10.9,5,100,I,0.5,2.1,,0,,,,N,N,,,,
_151,PostBurnYear1,2021,595,QUKE,L,N,16.8,7.2,100,O,0.7,2.25,,0,,,,N,N,,,,
_152,PostBurnYear1,2021,,,,,,,,,,,,,,,,,,,,,
_152,PostBurnYear1,2021,201,QUKE,D,N,84.5,2.3,,,,,5,7.4,,,,N,N,,,,
_152,PostBurnYear1,2021,203,PIJE,L,N,54.3,20.2,100,C,10.6,3.25,,5.2,,,,N,N,,,,
_152,PostBurnYear1,2021,204,PIJE,L,N,20.15,8.6,100,I,3.2,1.4,,1.4,,,,N,N,,,,
_152,PostBurnYear1,2021,205,PIJE,L,N,64.5,19.8,100,C,10.6,3.5,,0.5,,,,N,N,,,,
_152,PostBurnYear1,2021,206,PIJE,L,N,64.3,21.8,100,C,11.2,3,,0.4,,,,N,N,,,,
_152,PostBurnYear1,2021,207,PIJE,L,N,49.15,17,100,C,13.2,2.75,,0.3,,,,N,N,,,,
_152,PostBurnYear1,2021,208,PIJE,L,N,50.2,18.2,100,C,7.6,2.5,,0,,,,N,N,,,,
_153,PostBurnYear1,2021,,,,,,,,,,,,,,,,,,,,,
_153,PostBurnYear1,2021,174,QUKE,D,N,58.85,9,,,,,3,,,,,N,N,,,,
_153,PostBurnYear1,2021,175,QUKE,D,N,,,,,,,,,,,,N,N,,,,
_153,PostBurnYear1,2021,176,QUKE,D,N,51.85,7,,,,,2,,,,,N,N,,,,
_154,PostBurnYear1,2021,,,,,,,,,,,,,,,,,,,,,
_154,PostBurnYear1,2021,101,PIJE,L,N,8.5,3.1,100,I,0.3,0.75,,0,,,,N,N,,,,
_154,PostBurnYear1,2021,102,PIJE,L,N,41.9,18.2,80,C,11.2,2,,0.2,,,,N,N,,,,
_154,PostBurnYear1,2021,103,PIJE,L,N,47.2,19,90,C,10.4,2.5,,0.2,,,,N,N,,,,
_154,PostBurnYear1,2021,104,PIJE,L,N,26.3,10.9,90,I,4.6,1.75,,0.5,,,,N,N,,,,
_154,PostBurnYear1,2021,105,PIJE,L,N,9.95,3.9,100,S,0.5,1.4,,0.7,,,,N,N,,,,
_154,PostBurnYear1,2021,106,QUKE,L,N,91.1,18.4,100,C,1.5,4.5,,0,,,,N,N,,,,
_154,PostBurnYear1,2021,107,PIJE,L,N,49.5,15,80,C,10.4,2,,0,,,,N,N,,,,
_156,PostBurnYear1,2021,,,,,,,,,,,,,,,,,,,,,
_156,PostBurnYear1,2021,151,QUCH2,L,N,13.95,7,90,I,0.1,1.5,,0,,,,N,N,,,,
_156,PostBurnYear1,2021,152,QUCH2,L,N,26.5,10.2,90,I,0.5,3.5,,0,,,,N,N,,,,
_156,PostBurnYear1,2021,153,QUCH2,L,N,24.9,10.5,90,I,2,3,,0,,,,N,N,,,,
_156,PostBurnYear1,2021,154,PIJE,D,N,11.35,3.4,,,,,1,0,,,,N,N,,,,
_156,PostBurnYear1,2021,155,PIJE,L,N,20.8,10.8,40,I,6.2,1.5,,2.5,,,,N,N,,,,
_156,PostBurnYear1,2021,156,PIJE,L,N,32.8,12,70,C,5.6,1.75,,4,,,,N,N,,,,
_156,PostBurnYear1,2021,157,PIJE,D,N,,,,,,,1,,,,,N,N,,,,
_156,PostBurnYear1,2021,158,PIJE,L,N,26.9,9.7,70,I,2.5,1,,2,,,,N,N,,,,
_156,PostBurnYear1,2021,159,QUKE,D,N,10.3,1.5,,,,,5,1.5,,,,N,N,,,,
_156,PostBurnYear1,2021,160,QUKE,L,N,58.8,9.2,70,C,0.1,4.25,,0,,,,N,N,,,,
_156,PostBurnYear1,2021,161,PIJE,L,N,14.8,8,90,I,2,0.85,,0.4,,,,N,N,,,,
_156,PostBurnYear1,2021,162,PIJE,L,N,20.3,7,80,S,3.8,1.25,,1,,,,N,N,,,,
_156,PostBurnYear1,2021,163,PIJE,L,N,31.5,11.8,90,C,2.1,1.45,,1.4,,,,N,N,,,,
_156,PostBurnYear1,2021,165,PIJE,L,N,13.85,6.2,90,S,1.9,1.2,,0.5,,,,N,N,,,,
_156,PostBurnYear1,2021,166,QUKE,L,N,46.1,6.4,90,I,1.1,3.75,,0,,,,N,N,,,,
_156,PostBurnYear1,2021,167,QUKE,D,N,29.3,2.7,,,,,3,0,,,,N,N,,,,
_156,PostBurnYear1,2021,168,QUKE,L,N,34.55,9,80,S,0.4,2,,0,,,,N,N,,,,
_156,PostBurnYear1,2021,169,QUKE,L,N,55.3,8.4,90,S,2.2,1.5,,0,,,,N,N,,,,
_156,PostBurnYear1,2021,170,QUKE,L,N,47.4,15,90,C,8.6,4.5,,0,,,,N,N,,,,
_156,PostBurnYear1,2021,171,QUKE,L,N,32.1,10.8,80,S,5.4,1.25,,0,,,,N,N,,,,
_156,PostBurnYear1,2021,964,PIJE,L,N,13.9,5.4,90,S,2.1,1,,0,,,,N,N,,,,
_157,PostBurnYear1,2021,,,,,,,,,,,,,,,,,,,,,
_157,PostBurnYear1,2021,141,PIJE,L,N,47.5,17.8,30,C,13.8,1.75,,7.2,,,,N,N,,,,
_157,PostBurnYear1,2021,142,PIJE,L,N,63.5,20.4,70,C,15,2.5,,5.2,,,,N,N,,,,
_157,PostBurnYear1,2021,146,QUKE,L,N,43.6,5,5,I,5,0.25,,0,,,,N,N,,,,
_157,PostBurnYear1,2021,147,PIJE,L,N,52.7,18.6,80,C,12.8,2.75,,3.1,,,,N,N,,,,
_157,PostBurnYear1,2021,148,PIJE,L,N,60.8,22.2,90,C,12.4,2.38,,6.2,,,,N,N,,,,
_158,PostBurnYear1,2021,,,,,,,,,,,,,,,,,,,,,
_158,PostBurnYear1,2021,109,PIJE,L,N,51.65,15.2,60,C,11.6,2.5,,0,,,,N,N,,,,
_158,PostBurnYear1,2021,110,QUKE,L,N,116.4,6,40,S,1.8,1.5,,0,,,,N,N,,,,
_158,PostBurnYear1,2021,113,PIJE,L,N,8,4.2,60,S,1.7,0.5,,0,,,,N,N,,,,
_158,PostBurnYear1,2021,114,PIJE,L,N,49.3,16.2,80,C,8.4,2.25,,0,,,,N,N,,,,
_158,PostBurnYear1,2021,116,PIJE,L,N,36.6,18.2,80,C,10.2,1.6,,0,,,,N,N,,,,
_158,PostBurnYear1,2021,117,PIJE,L,N,25.55,12.6,30,I,10,1,,0,,,,N,N,,,,
_158,PostBurnYear1,2021,118,QUKE,L,N,65.1,14.6,100,C,2.5,4.5,,0,,,,N,N,,,,
_158,PostBurnYear1,2021,119,QUKE,L,N,70.45,15.6,100,C,0.3,4.25,,0,,,,N,N,,,,
_158,PostBurnYear1,2021,120,PIJE,L,N,14.7,5,90,S,1.5,1.25,,0,,,,N,N,,,,
_158,PostBurnYear1,2021,121,PIJE,L,N,12.4,4.8,70,S,1.8,0.75,,0,,,,N,N,,,,
_158,PostBurnYear1,2021,123,QUKE,L,N,21.4,8.6,100,I,0.5,2.6,,0,,,,N,N,,,,
_158,PostBurnYear1,2021,124,QUKE,L,N,8.45,6.5,100,I,1.5,1.25,,0,,,,N,N,,,,
_158,PostBurnYear1,2021,127,QUKE,L,N,26,8,100,I,0.7,3.25,,0,,,,N,N,,,,
_158,PostBurnYear1,2021,131,PIJE,L,N,42.55,18,90,C,11,1.75,,0,,,,N,N,,,,
_158,PostBurnYear1,2021,133,PIJE,L,N,10.3,5,50,S,2.4,0.8,,0,,,,N,N,,,,
_158,PostBurnYear1,2021,134,PIJE,L,N,63.2,22,100,C,15,2,,0,,,,N,N,,,,
_158,PostBurnYear1,2021,135,PIJE,L,N,42.9,18.6,100,C,12.2,2.1,,0,,,,N,N,,,,
_158,PostBurnYear1,2021,138,PIJE,L,N,12.95,5.8,80,S,0.7,0.95,,0,,,,N,N,,,,
_158,PostBurnYear1,2021,139,PIJE,D,N,14.4,4.5,,,,,2,0,,,,N,N,,,,
_158,PostBurnYear1,2021,140,PIJE,L,N,45,17.4,70,C,11.2,2,,0,,,,N,N,,,,
