MacroPlot Name,Monitoring Status,Date,Index,SizeClDia,Status,Count,AvgHt,AvgCrwnRto,SubFrac,Comment,TagNo,Top Kill (Y/N),Resprout (Y/N),Epicormic Resprout (Y/N),Basal Resprout (Y/N),Basal Resprout Height (cm),Basal Resprout Width (cm),Basal Resprout Count,UV2,UV3,MacroPlotSize,FieldTeam,EntryTeam,UV1Desc,UV2Desc,UV3Desc,SaComment,Species Symbol,Visited
_141,PostBurnYear1,8/30/2021 14:09,,,,,,,,,,,,,,,,,,,0.04,,,tag,D. to Plant,D. to CWD,neighbor,,TRUE
_141,PostBurnYear1,8/30/2021 14:09,-2147483648,6.4,L,1,4.6,,1,,502,N,N,N,N,,,,,,,,,,,,,QUKE,
_141,PostBurnYear1,8/30/2021 14:09,-2147483647,6,L,1,5,,1,,503,N,N,N,N,,,,,,,,,,,,,QUKE,
_141,PostBurnYear1,8/30/2021 14:09,-2147483646,2.3,L,1,2.5,,1,,504,N,Y,N,N,,,,,,,,,,,,,QUKE,
_141,PostBurnYear1,8/30/2021 14:09,-2147483645,1.05,L,1,1.7,,1,,505,N,N,N,Y,25,36,2,,,,,,,,,,QUKE,
_141,PostBurnYear1,8/30/2021 14:09,-2147483644,4.85,L,1,4.8,,1,,506,N,N,N,N,,,,,,,,,,,,,QUKE,
_142,PostBurnYear1,8/30/2021 14:09,,,,,,,,,,,,,,,,,,,0.04,,,tag,D. to Plant,D. to CWD,neighbor,,TRUE
_142,PostBurnYear1,8/30/2021 14:09,-2147483648,3.7,L,1,3.8,,1,,569,N,N,Y,N ,,,,,,,,,,,,,QUKE,
_142,PostBurnYear1,8/30/2021 14:09,-2147483647,0.65,D,1,1.7,,1,,572,Y,Y,N,Y,90,50,5,,,,,,,,,,QUKE,
_142,PostBurnYear1,8/30/2021 14:09,-2147483646,1.4,D,1,2.6,,1,,573,Y,Y,N,Y,70,88,13,,,,,,,,,,QUKE,
_142,PostBurnYear1,8/30/2021 14:09,-2147483645,3.3,D,1,2.2,,1,,578,N,N,N,N,,,,,,,,,,,,,PIJE,
_142,PostBurnYear1,8/30/2021 14:09,-2147483644,0.45,D,1,1.41,,1,,579,Y,Y,N,Y,39,55,9,,,,,,,,,,QUKE,
_142,PostBurnYear1,8/30/2021 14:09,-2147483643,6.35,D,1,4.4,,1,,580,Y,N,N,Y,57,45,6,,,,,,,,,,QUKE,
_142,PostBurnYear1,8/30/2021 14:09,-2147483642,1.45,D,1,2.4,,1,,581,Y,Y,N,Y,93,102,15,,,,,,,,,,QUKE,
_142,PostBurnYear1,8/30/2021 14:09,-2147483641,0.65,D,1,1.7,,1,,584,Y,Y,N,Y,59,48,15,,,,,,,,,,QUKE,
_143,PostBurnYear1,8/30/2021 14:10,,,,,,,,,,,,,,,,,,,0.04,,,tag,D. to Plant,D. to CWD,neighbor,,TRUE
_143,PostBurnYear1,8/30/2021 14:10,-2147483648,1.1,D,1,2.2,,1,,542,Y,Y,N,Y,67,70,16,,,,,,,,,,QUKE,
_144,PostBurnYear1,8/30/2021 14:10,,,,,,,,,,,,,,,,,,,0.04,,,tag,D. to Plant,D. to CWD,neighbor,,TRUE
_144,PostBurnYear1,8/30/2021 14:10,-2147483648,4.55,L,1,3.4,,1,,524,N,N,N,N,,,,,,,,,,,,,QUKE,
_144,PostBurnYear1,8/30/2021 14:10,-2147483647,2.1,L,1,2.6,,1,,531,N,Y,N,Y,84,102,15,,,,,,,,,,QUKE,
_145,PostBurnYear1,8/30/2021 14:11,,,,,,,,,,,,,,,,,,,0.04,,,tag,D. to Plant,D. to CWD,neighbor,,TRUE
_145,PostBurnYear1,8/30/2021 14:11,-2147483648,0.35,D,1,1.6,,1,,546,Y,Y,N,Y,44,39,8,,,,,,,,,,QUKE,
_145,PostBurnYear1,8/30/2021 14:11,-2147483647,5.95,L,1,4.8,,1,,548,N,Y,Y,Y,36,120,13,,,,,,,,,,QUKE,
_145,PostBurnYear1,8/30/2021 14:11,-2147483646,2.6,D,1,2.8,,1,,549,Y,Y,N,Y,54,88,13,,,,,,,,,,QUKE,
_145,PostBurnYear1,8/30/2021 14:11,-2147483645,0.25,D,1,1.5,,1,,550,Y,Y,N,Y,36,58,3,,,,,,,,,,QUKE,
_145,PostBurnYear1,8/30/2021 14:11,-2147483644,1.15,D,1,1.9,,1,,553,Y,Y,N,Y,66,71,14,,,,,,,,,,QUKE,
_145,PostBurnYear1,8/30/2021 14:11,-2147483643,0.7,D,1,1.9,,1,,559,Y,Y,N,Y,42,43,7,,,,,,,,,,QUKE,
_145,PostBurnYear1,8/30/2021 14:11,-2147483642,1.55,D,1,2.4,,1,,560,Y,Y,N,Y,62,130,17,,,,,,,,,,QUKE,
_145,PostBurnYear1,8/30/2021 14:11,-2147483641,0.6,D,1,0.7,,1,,561,Y,Y,N,Y,80,56,9,,,,,,,,,,QUKE,
_145,PostBurnYear1,8/30/2021 14:11,-2147483640,1.25,D,1,2.1,,1,,568,Y,Y,N,Y,72,67,10,,,,,,,,,,QUKE,
_145,PostBurnYear1,8/30/2021 14:11,-2147483639,0.85,D,1,1.8,,1,,566,Y,Y,N,Y,52,42,5,,,,,,,,,,QUKE,
_145,PostBurnYear1,8/30/2021 14:11,-2147483638,1.6,D,1,2.4,,1,,567,Y,Y,N,Y,82,70,7,,,,,,,,,,QUKE,
_145,PostBurnYear1,8/30/2021 14:11,-2147483637,0.55,D,1,1.7,,1,,568,Y,Y,N,Y,55,47,5,,,,,,,,,,QUKE,
_141,PostBurnYear2,9/26/2022 10:43,,,,,,,,,,,,,,,,,,,0.04,,,tag,D. to Plant,D. to CWD,neighbor,,TRUE
_141,PostBurnYear2,9/26/2022 10:43,-2147483648,7.25,L,1,4.6,,1,,502,N,N,N,N,,,,,,,,,,,,,QUKE,
_141,PostBurnYear2,9/26/2022 10:43,-2147483647,2.5,L,1,2.5,,1,,504,N,Y,N,N,,,,,,,,,,,,,QUKE,
_141,PostBurnYear2,9/26/2022 10:43,-2147483646,0.7,L,1,1.7,,1,,505,N,N,N,N,,,,,,,,,,,,,QUKE,
_141,PostBurnYear2,9/26/2022 10:43,-2147483645,5.5,L,1,4.8,,1,,506,N,N,N,N,,,,,,,,,,,,,QUKE,
_142,PostBurnYear2,9/26/2022 10:44,,,,,,,,,,,,,,,,,,,0.04,,,tag,D. to Plant,D. to CWD,neighbor,,TRUE
_142,PostBurnYear2,9/26/2022 10:44,-2147483648,3.7,L,1,3.9,,1,,569,N,N,N,N,,,,,,,,,,,,,QUKE,
_142,PostBurnYear2,9/26/2022 10:44,-2147483647,0.5,D,1,1.7,,1,,572,Y,Y,N,Y,93,76,6,,,,,,,,,,QUKE,
_142,PostBurnYear2,9/26/2022 10:44,-2147483646,1.3,D,1,2.6,,1,,573,Y,Y,N,Y,122,160,15,,,,,,,,,,QUKE,
_142,PostBurnYear2,9/26/2022 10:44,-2147483645,3.3,D,1,2.2,,1,,578,N,N,N,N,,,,,,,,,,,,,PIJE,
_142,PostBurnYear2,9/26/2022 10:44,-2147483644,0,D,1,,,1,Broke off; no DBH or height. ,579,Y,Y,N,Y,68,80,11,,,,,,,,,,QUKE,
_142,PostBurnYear2,9/26/2022 10:44,-2147483643,6.45,D,1,4.4,,1,,580,Y,N,N,Y,74,115,7,,,,,,,,,,QUKE,
_142,PostBurnYear2,9/26/2022 10:44,-2147483642,0.45,L,1,1.45,,1,,581,N,Y,N,N,,,,,,,,,,,,,QUKE,
_142,PostBurnYear2,9/26/2022 10:44,-2147483641,0.65,D,1,1.7,,1,,584,Y,Y,N,Y,104,120,11,,,,,,,,,,QUKE,
_143,PostBurnYear2,9/26/2022 10:45,,,,,,,,,,,,,,,,,,,0.04,,,tag,D. to Plant,D. to CWD,neighbor,,TRUE
_143,PostBurnYear2,9/26/2022 10:45,-2147483648,6.6,D,1,3,,1,,540,Y,N,N,Y,84,144,22,,,,,,,,,,QUKE,
_143,PostBurnYear2,9/26/2022 10:45,-2147483647,1,D,1,2.2,,1,,542,Y,Y,N,Y,133,120,11,,,,,,,,,,QUKE,
_144,PostBurnYear2,9/26/2022 10:45,,,,,,,,,,,,,,,,,,,0.04,,,tag,D. to Plant,D. to CWD,neighbor,,TRUE
_144,PostBurnYear2,9/26/2022 10:45,-2147483648,5.2,L,1,3.4,,1,,524,N,N,Y,N,,,,,,,,,,,,,QUKE,
_144,PostBurnYear2,9/26/2022 10:45,-2147483647,2.65,L,1,2.6,,1,,531,N,Y,N,Y,130,235,12,,,,,,,,,,QUKE,
_145,PostBurnYear2,9/26/2022 10:46,,,,,,,,,,,,,,,,,,,0.04,,,tag,D. to Plant,D. to CWD,neighbor,,TRUE
_145,PostBurnYear2,9/26/2022 10:46,-2147483648,0.45,D,1,1.5,,1,,546,Y,Y,N,Y,54,63,8,,,,,,,,,,QUKE,
_145,PostBurnYear2,9/26/2022 10:46,-2147483647,6.7,L,1,5,,1,,548,N,Y,Y,Y,52,110,9,,,,,,,,,,QUKE,
_145,PostBurnYear2,9/26/2022 10:46,-2147483646,2.8,D,1,2.8,,1,,549,Y,Y,N,Y,87,111,7,,,,,,,,,,QUKE,
_145,PostBurnYear2,9/26/2022 10:46,-2147483645,0.5,D,1,1.5,,1,,550,Y,Y,N,Y,66,77,3,,,,,,,,,,QUKE,
_145,PostBurnYear2,9/26/2022 10:46,-2147483644,1.15,D,1,1.9,,1,,553,Y,Y,N,Y,55,107,16,,,,,,,,,,QUKE,
_145,PostBurnYear2,9/26/2022 10:46,-2147483643,0.65,D,1,1.9,,1,,559,Y,Y,N,Y,42,60,8,,,,,,,,,,QUKE,
_145,PostBurnYear2,9/26/2022 10:46,-2147483642,1.95,D,1,2.4,,1,,560,Y,Y,N,Y,54.5,148,24,,,,,,,,,,QUKE,
_145,PostBurnYear2,9/26/2022 10:46,-2147483641,0.5,D,1,0.7,,1,,561,Y,Y,N,Y,101,103.5,14,,,,,,,,,,QUKE,
_145,PostBurnYear2,9/26/2022 10:46,-2147483640,1.15,D,1,2.1,,1,,564,Y,Y,N,Y,84,107,9,,,,,,,,,,QUKE,
_145,PostBurnYear2,9/26/2022 10:46,-2147483639,1.35,D,1,1.8,,1,,566,Y,Y,N,Y,42,81,9,,,,,,,,,,QUKE,
_145,PostBurnYear2,9/26/2022 10:46,-2147483638,1.5,D,1,2.4,,1,,567,Y,Y,N,Y,47,81,22,,,,,,,,,,QUKE,
_145,PostBurnYear2,9/26/2022 10:46,-2147483637,0.6,D,1,1.7,,1,,568,Y,Y,N,Y,46.5,59,8,,,,,,,,,,QUKE,
_141,PreBurnYear1,8/19/2020 8:54,,,,,,,,,,,,,,,,,,,0.04,,,tag,D. to Plant,D. to CWD,neighbor,,TRUE
_141,PreBurnYear1,8/19/2020 8:54,-2147483648,5.65,L,1,4.5,,1,ERWR_SL,502,,,,,,,,0.4,3.5,,,,,,,,QUKE,
_141,PreBurnYear1,8/19/2020 8:54,-2147483647,5.75,L,1,4.9,,1,ERWR_SL,503,,,,,,,,0.9,0.4,,,,,,,,QUKE,
_141,PreBurnYear1,8/19/2020 8:54,-2147483646,1.7,L,1,2.2,,1,QUKE_TSA,504,,,,,,,,1.1,1,,,,,,,,QUKE,
_141,PreBurnYear1,8/19/2020 8:54,-2147483645,0.7,L,1,1.6,,1,QUKE_TSA,505,,,,,,,,1.1,0.1,,,,,,,,QUKE,
_141,PreBurnYear1,8/19/2020 8:54,-2147483644,4.4,L,1,4.5,,1,QUKE_TSA,506,,,,,,,,2,1,,,,,,,,QUKE,
_142,PreBurnYear1,8/19/2020 8:54,,,,,,,,,,,,,,,,,,,0.04,,,tag,D. to Plant,D. to CWD,neighbor,,TRUE
_142,PreBurnYear1,8/19/2020 8:54,-2147483648,3.15,L,1,3.1,,1,QUKE_TOV,569,,,,,,,,0.4,2,,,,,,,,QUKE,
_142,PreBurnYear1,8/19/2020 8:54,-2147483647,0.55,L,1,1.5,,1,QUKE_TOV,572,,,,,,,,0.5,0.2,,,,,,,,QUKE,
_142,PreBurnYear1,8/19/2020 8:54,-2147483646,1.9,L,1,2.9,,1,ROCA_SL,573,,,,,,,,0.4,2,,,,,,,,QUKE,
_142,PreBurnYear1,8/19/2020 8:54,-2147483645,3.45,L,1,2.2,,1,ROCA_SL,578,,,,,,,,0.3,2,,,,,,,,PIJE,
_142,PreBurnYear1,8/19/2020 8:54,-2147483644,0.45,L,1,1.41,,1,ERWR_SL,579,,,,,,,,0.5,3,,,,,,,,QUKE,
_142,PreBurnYear1,8/19/2020 8:54,-2147483643,6.25,L,1,4.2,,1,ERWR_SL,580,,,,,,,,0.3,2.5,,,,,,,,QUKE,
_142,PreBurnYear1,8/19/2020 8:54,-2147483642,1.4,L,1,2.4,,1,ERWR_SL,581,,,,,,,,0.4,4.5,,,,,,,,QUKE,
_142,PreBurnYear1,8/19/2020 8:54,-2147483641,0.7,L,1,3,,1,PIJE_TOV,584,,,,,,,,0.4,4,,,,,,,,QUKE,
_143,PreBurnYear1,8/19/2020 8:54,,,,,,,,,,,,,,,,,,,0.04,,,tag,D. to Plant,D. to CWD,neighbor,,TRUE
_143,PreBurnYear1,8/19/2020 8:54,-2147483648,1.15,L,1,2.1,,1,QUKE_TSA,542,,,,,,,,3,0.7,,,,,,,,QUKE,
_144,PreBurnYear1,8/19/2020 8:54,,,,,,,,,,,,,,,,,,,0.04,,,tag,D. to Plant,D. to CWD,neighbor,,TRUE
_144,PreBurnYear1,8/19/2020 8:54,-2147483648,4.4,L,1,3.2,,1,ERWR_SL,524,,,,,,,,1,2,,,,,,,,QUKE,
_144,PreBurnYear1,8/19/2020 8:54,-2147483647,2.1,L,1,2.3,,1,QUKE_DTOV,531,,,,,,,,0.2,5,,,,,,,,QUKE,
_145,PreBurnYear1,8/19/2020 8:54,,,,,,,,,,,,,,,,,,,0.04,,,tag,D. to Plant,D. to CWD,neighbor,,TRUE
_145,PreBurnYear1,8/19/2020 8:54,-2147483648,0.5,L,1,1.55,,1,ROCA_SM,546,,,,,,,,0,0.7,,,,,,,,QUKE,
_145,PreBurnYear1,8/19/2020 8:54,-2147483647,5.2,L,1,4.8,,1,ROCA_SM,548,,,,,,,,0,2,,,,,,,,QUKE,
_145,PreBurnYear1,8/19/2020 8:54,-2147483646,2.7,L,1,3.8,,1,ROCA_SM,549,,,,,,,,0,1.5,,,,,,,,QUKE,
_145,PreBurnYear1,8/19/2020 8:54,-2147483645,0.3,L,1,1.4,,1,ROCA_SL,550,,,,,,,,0,0.3,,,,,,,,QUKE,
_145,PreBurnYear1,8/19/2020 8:54,-2147483644,0.95,L,1,2,,1,ROCA_SL,553,,,,,,,,0,8,,,,,,,,QUKE,
_145,PreBurnYear1,8/19/2020 8:54,-2147483643,0.6,L,1,1.7,,1,ROCA_SL,559,,,,,,,,0.4,4,,,,,,,,QUKE,
_145,PreBurnYear1,8/19/2020 8:54,-2147483642,1.55,L,1,2,,1,ROCA_SL,560,,,,,,,,0,5,,,,,,,,QUKE,
_145,PreBurnYear1,8/19/2020 8:54,-2147483641,0.3,L,1,1.5,,1,ROCA_SL,561,,,,,,,,0.3,0.4,,,,,,,,QUKE,
_145,PreBurnYear1,8/19/2020 8:54,-2147483640,1.1,L,1,2.1,,1,PIJE_TOV,564,,,,,,,,0.4,4.5,,,,,,,,QUKE,
_145,PreBurnYear1,8/19/2020 8:54,-2147483639,1,L,1,1.6,,1,ROCA_SL,566,,,,,,,,0.4,3,,,,,,,,QUKE,
_145,PreBurnYear1,8/19/2020 8:54,-2147483638,1.6,L,1,2.4,,1,ROCA_SL,567,,,,,,,,0.5,5,,,,,,,,QUKE,
_145,PreBurnYear1,8/19/2020 8:54,-2147483637,0.55,L,1,1.6,,1,ROCA_SM,568,,,,,,,,0,7,,,,,,,,QUKE,
