MacroPlot.Name ,Monitoring.Status,TagNo,Species ,Top Kill (Y/N),Resprout (Y/N),Epicormic Resprout (Y/N),Basal Resprout (Y/N),Basal Resprout Height (cm),Basal Resprout Width (cm),Basal Resprout Count,Comments
_128,PostBurnYear1,,,,,,,,,,
_128,PostBurnYear1,651,QUKE,Y,Y,N,Y,74,50,8,
_128,PostBurnYear1,654,QUKE,Y,Y,N,Y,38,41,4,
_128,PostBurnYear1,656,QUKE,Y,Y,N,Y,25,26,1,
_128,PostBurnYear1,658,QUKE,Y,Y,N,Y,38,68,8,
_128,PostBurnYear1,659,QUKE,Y,Y,N,Y,69,77,9,
_128,PostBurnYear1,660,QUKE,Y,Y,N,Y,55,70,9,"Stalk burned, tag still on bottom. "
_128,PostBurnYear1,661,QUKE,Y,Y,N,Y,23,36,8,"Stalk burned, tag still on bottom. "
_128,PostBurnYear1,662,QUKE,Y,Y,N,Y,57,90,15,
_128,PostBurnYear1,665,QUKE,Y,Y,N,Y,79,56,6,
_128,PostBurnYear1,666,QUKE,Y,Y,N,Y,52,38,7,
_128,PostBurnYear1,667,QUKE,Y,Y,N,Y,73,75,13,
_128,PostBurnYear1,668,QUKE,Y,Y,N,Y,58,39,9,New tag 669
_129,PostBurnYear1,,,,,,,,,,
_129,PostBurnYear1,604,QUKE,Y,Y,N,Y,99,55,17,
_129,PostBurnYear1,607,QUKE,Y,N,N,Y,37,52,5,
_129,PostBurnYear1,611,QUKE,Y,N,N,Y,60,55,10,
_129,PostBurnYear1,613,QUKE,Y,N,N,Y,59,52,8,
_129,PostBurnYear1,616,QUKE,N,N,Y,Y,6,12,1,
_129,PostBurnYear1,618,QUKE,N,N,Y,Y,4,6,1,
_129,PostBurnYear1,619,QUKE,Y,N,N,Y,73,46,5,
_129,PostBurnYear1,620,QUKE,N,N,Y,N,,,,
_129,PostBurnYear1,621,QUKE,N,N,N,N,,,,Trunk with tag on ground; can't tell where it came from. Therefore cannot measure or tell if theres resprout. 
_130,PostBurnYear1,,,,,,,,,,
_130,PostBurnYear1,639,QUKE,Y,Y,N,Y,32,30,4,
_131,PostBurnYear1,,,,,,,,,,
_131,PostBurnYear1,673,QUKE,N,N,N,N,0,0,0,
_132,PostBurnYear1,,,,,,,,,,
_132,PostBurnYear1,625,PIJE,N,N,N,N,,,,
_132,PostBurnYear1,627,PIJE,N,N,N,N,,,,
_132,PostBurnYear1,629,PIJE,N,N,N,N,,,,
_132,PostBurnYear1,631,2S,N,,,,,,,not a tree; maybe coffee berry? Fully burned; resprouting. 
_133,PostBurnYear1,,,,,,,,,,
_133,PostBurnYear1,686,QUKE,Y,Y,N,Y,105,126,33,
_134,PostBurnYear1,,,,,,,,,,
_134,PostBurnYear1,739,QUKE,N,,,,,,,
_134,PostBurnYear1,746,QUKE,N,,,,,,,
_134,PostBurnYear1,748,QUKE,Y,Y,N,Y,55,65,24,
_134,PostBurnYear1,749,QUKE,Y,Y,N,Y,61,66,21,New tag 882
_134,PostBurnYear1,750,QUKE,Y,Y,N,Y,88,153,19,
_134,PostBurnYear1,751,QUKE,Y,Y,N,Y,102,108,10,
_134,PostBurnYear1,752,QUKE,Y,Y,N,Y,55,54,5,New tag 883
_134,PostBurnYear1,753,QUKE,Y,Y,N,Y,150,94,7,
_134,PostBurnYear1,884,QUKE,N,Y,N,,,,,
_135,PostBurnYear1,,,,,,,,,,
_135,PostBurnYear1,724,PIJE,N,N,N,N,,,,
_135,PostBurnYear1,727,QUKE,Y,Y,N,Y,90,65,19,
_135,PostBurnYear1,728,QUKE,Y,Y,N,Y,64,120,10,
_135,PostBurnYear1,729,QUKE,Y,Y,N,Y,57,64,9,
_136,PostBurnYear1,,,,,,,,,,
_136,PostBurnYear1,713,QUKE,Y,Y,N,Y,97,93,14,
_136,PostBurnYear1,714,QUKE,Y,Y,N,Y,72,97,7,
_136,PostBurnYear1,715,QUKE,Y,Y,N,Y,105,107,13,
_136,PostBurnYear1,716,QUKE,Y,Y,N,Y,104.5,78,6,
_136,PostBurnYear1,717,QUKE,Y,Y,N,Y,117,110,13,
_136,PostBurnYear1,718,QUKE,Y,Y,N,Y,101,111,21,
_137,PostBurnYear1,,,,,,,,,,
_137,PostBurnYear1,706,QUKE,Y,Y,N,Y,77,99,9,
_138,PostBurnYear1,,,,,,,,,,
_138,PostBurnYear1,783,QUKE,N,N,N,Y,41,43,2,
_139,PostBurnYear1,,,,,,,,,,
_139,PostBurnYear1,774,QUKE,Y,Y,N,Y,114,111,14,
_139,PostBurnYear1,775,QUKE,N,N,N,Y,13.5,8,1,
_139,PostBurnYear1,779,QUKE,Y,Y,N,Y,81,110,26,
_141,PostBurnYear1,,,,,,,,,,
_141,PostBurnYear1,502,QUKE,N,N,N,N,,,,
_141,PostBurnYear1,503,QUKE,N,N,N,N,,,,
_141,PostBurnYear1,504,QUKE,N,Y,N,N,,,,
_141,PostBurnYear1,505,QUKE,N,N,N,Y,25,36,2,
_141,PostBurnYear1,506,QUKE,N,N,N,N,,,,
_142,PostBurnYear1,,,,,,,,,,
_142,PostBurnYear1,569,QUKE,N,N,Y,N ,,,,
_142,PostBurnYear1,572,QUKE,Y,Y,N,Y,90,50,5,
_142,PostBurnYear1,573,QUKE,Y,Y,N,Y,70,88,13,
_142,PostBurnYear1,578,PIJE,N,N,N,N,,,,
_142,PostBurnYear1,579,QUKE,Y,Y,N,Y,39,55,9,
_142,PostBurnYear1,580,QUKE,Y,N,N,Y,57,45,6,
_142,PostBurnYear1,581,QUKE,Y,Y,N,Y,93,102,15,
_142,PostBurnYear1,584,QUKE,Y,Y,N,Y,59,48,15,
_143,PostBurnYear1,,,,,,,,,,
_143,PostBurnYear1,542,QUKE,Y,Y,N,Y,67,70,16,
_144,PostBurnYear1,,,,,,,,,,
_144,PostBurnYear1,524,QUKE,N,N,N,N,,,,
_144,PostBurnYear1,531,QUKE,N,Y,N,Y,84,102,15,
_145,PostBurnYear1,,,,,,,,,,
_145,PostBurnYear1,546,QUKE,Y,Y,N,Y,44,39,8,
_145,PostBurnYear1,548,QUKE,N,Y,Y,Y,36,120,13,
_145,PostBurnYear1,549,QUKE,Y,Y,N,Y,54,88,13,
_145,PostBurnYear1,550,QUKE,Y,Y,N,Y,36,58,3,
_145,PostBurnYear1,553,QUKE,Y,Y,N,Y,66,71,14,
_145,PostBurnYear1,559,QUKE,Y,Y,N,Y,42,43,7,
_145,PostBurnYear1,560,QUKE,Y,Y,N,Y,62,130,17,
_145,PostBurnYear1,561,QUKE,Y,Y,N,Y,80,56,9,
_145,PostBurnYear1,568,QUKE,Y,Y,N,Y,72,67,10,
_145,PostBurnYear1,566,QUKE,Y,Y,N,Y,52,42,5,
_145,PostBurnYear1,567,QUKE,Y,Y,N,Y,82,70,7,
_145,PostBurnYear1,568,QUKE,Y,Y,N,Y,55,47,5,
_146,PostBurnYear1,,,,,,,,,,
_146,PostBurnYear1,847,QUKE,N,Y,N,,,,,
_146,PostBurnYear1,848,QUKE,N,Y,N,,,,,
_146,PostBurnYear1,850,QUKE,N,Y,N,,,,,
_146,PostBurnYear1,852,QUKE,N,Y,N,,,,,
_146,PostBurnYear1,853,PIJE,N,N,N,,,,,
_146,PostBurnYear1,856,QUKE,N,N,N,,,,,
_146,PostBurnYear1,857,QUKE,N,N,N,,,,,
_146,PostBurnYear1,858,QUKE,N,Y,N,,,,,
_146,PostBurnYear1,859,QUKE,N,N,N,,,,,
_146,PostBurnYear1,860,QUKE,N,N,N,,,,,
_146,PostBurnYear1,861,QUKE,N,N,N,,,,,
_146,PostBurnYear1,862,QUKE,Y,Y,N,Y,85,100,16,
_146,PostBurnYear1,863,QUKE,N,N,N,Y,68,51,16,
_146,PostBurnYear1,864,QUKE,N,Y,N,,,,,
_146,PostBurnYear1,865,QUKE,N,Y,N,,,,,
_146,PostBurnYear1,867,QUKE,Y,Y,N,Y,58,135,7,
_147,PostBurnYear1,,,,,,,,,,
_147,PostBurnYear1,860,QUKE,N,N,N,Y,170,85,1,
_147,PostBurnYear1,861,QUKE,N,N,N,Y,12,18,1,
_147,PostBurnYear1,862,QUKE,N,N,N,Y,55,69,3,
_147,PostBurnYear1,865,QUKE,N,N,N,N,,,,
_147,PostBurnYear1,866,QUKE,Y,Y,N,Y,120,87,11,
_147,PostBurnYear1,867,QUKE,N,N,N,N,,,,
_147,PostBurnYear1,872,QUKE,N,N,N,N,,,,
_148,PostBurnYear1,,,,,,,,,,
_148,PostBurnYear1,876,PIJE,N,N,N,N,,,,
_148,PostBurnYear1,881,PIJE,N,N,N,N,,,,
_149,PostBurnYear1,,,,,,,,,,
_149,PostBurnYear1,812,QUKE,Y,Y,N,Y,56,69,17,
_149,PostBurnYear1,817,QUKE,Y,Y,N,Y,99,100,12,
_150,PostBurnYear1,,,,,,,,,,
_150,PostBurnYear1,824,QUKE,N,Y,N,N,,,,
_150,PostBurnYear1,825,QUKE,N,Y,N,N,,,,
_150,PostBurnYear1,826,QUKE,N,Y,N,N,,,,
_150,PostBurnYear1,827,QUKE,N,Y,N,N,,,,
_150,PostBurnYear1,828,QUKE,N,Y,N,N,,,,
_150,PostBurnYear1,829,QUKE,N,Y,N,N,,,,
_150,PostBurnYear1,830,QUKE,N,N,N,N,,,,
_150,PostBurnYear1,831,QUKE,N,N,N,N,,,,
_150,PostBurnYear1,832,QUKE,N,N,N,N,,,,
_150,PostBurnYear1,833,QUKE,N,Y,N,N,,,,
_150,PostBurnYear1,834,QUKE,N,N,N,N,,,,
_150,PostBurnYear1,835,QUKE,N,N,N,N,,,,
_150,PostBurnYear1,836,QUKE,N,N,N,N,,,,
_150,PostBurnYear1,839,QUKE,N,Y,N,N,,,,
_150,PostBurnYear1,841,QUKE,N,N,N,N,,,,
_150,PostBurnYear1,844,QUKE,N,Y,N,N,,,,
_150,PostBurnYear1,845,QUKE,N,Y,N,N,,,,
_150,PostBurnYear1,846,QUKE,N,N,N,N,,,,
_151,PostBurnYear1,,,,,,,,,,
_151,PostBurnYear1,586,PIJE,N,N,N,N,,,,
_151,PostBurnYear1,590,QUKE,N,Y,N,Y,47,69,11,
_151,PostBurnYear1,593,QUKE,N,N,N,N,,,,
_152,PostBurnYear1,,,,,,,,,,
_152,PostBurnYear1,202,QUKE,N,Y,N,N,,,,
_153,PostBurnYear1,,,,,,,,,,
_153,PostBurnYear1,172,QUKE,N,N,N,N,,,,
_153,PostBurnYear1,173,QUKE,N,N,N,N,,,,
_156,PostBurnYear1,,,,,,,,,,
_156,PostBurnYear1,164,QUKE,N,N,N,N,,,,
_157,PostBurnYear1,,,,,,,,,,
_157,PostBurnYear1,143,QUKE,N,Y,N,N,,,,
_157,PostBurnYear1,144,QUKE,N,Y,N,N,,,,
_157,PostBurnYear1,145,QUKE,N,Y,N,N,,,,
_157,PostBurnYear1,149,QUKE,N,Y,N,N,,,,
_157,PostBurnYear1,150,QUKE,N,Y,N,N,,,,
_158,PostBurnYear1,,,,,,,,,,
_158,PostBurnYear1,111,PIJE,N,N,N,N,,,,
_158,PostBurnYear1,112,PIJE,N,N,N,N,,,,
_158,PostBurnYear1,115,PIJE,N,N,N,N,,,,
_158,PostBurnYear1,122,PIJE,N,N,N,N,,,,
_158,PostBurnYear1,125,QUKE,N,N,N,N,,,,
_158,PostBurnYear1,126,QUKE,N,N,N,N,,,,
_158,PostBurnYear1,128,QUKE,N,N,N,N,,,,
_158,PostBurnYear1,129,QUKE,N,N,N,N,,,,
_158,PostBurnYear1,130,QUKE,N,N,N,N,,,,
_158,PostBurnYear1,132,QUKE,N,N,N,N,,,,
_158,PostBurnYear1,137,QUKE,N,N,N,N,,,,
_158,PostBurnYear1,136,PIJE,N,N,N,N,,,,
